,hero,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,TEAM,WIN_LOSE,game_ID,Tournamets,Patch,Date
5,Poppy,Expession,TOP,,4,3,2,2,293,10,2,7.2,14478,358,21.1%,,23,7,4,,,0.57,0.1,0.17,,14093,10453,3640,0,348,22%,0.15,66.7%,1,0,0,0,0,-469,-21,-778,-1,,,,,,,,,,,,,,,,Longzhu Gaming,LOSS ,5275,IEM Oakland 2016,6.21,2016-11-20
6,Elise,Chaser,JUNGLE,,2,1,4,6,173,104,19,4.3,13907,344,20.2%,,33,17,14,,,0.82,0.35,0.42,,10897,1104,9671,122,269,17%,0.15,66.7%,1,0,0,0,0,-791,-10,-72,-1,,,,,,,,,,,,,,,,Longzhu Gaming,LOSS ,5275,IEM Oakland 2016,6.21,2016-11-20
7,Viktor,Frozen,MID,,1,2,4,2.5,364,18,5,9,15904,393,23.1%,,20,3,4,,,0.49,0.1,0.07,,13312,85,13227,0,329,20.8%,0.12,55.6%,,0,0,0,0,-272,-9,-124,0,,,,,,,,,,,,,,,,Longzhu Gaming,LOSS ,5275,IEM Oakland 2016,6.21,2016-11-20
8,Jhin,Fury,ADC,,2,1,5,7,272,7,3,6.7,14046,347,20.4%,,16,12,5,,,0.4,0.12,0.3,,19539,17316,2121,102,483,30.5%,0.17,77.8%,,0,0,0,0,-606,-1,55,0,,,,,,,,,,,,,,,,Longzhu Gaming,LOSS ,5275,IEM Oakland 2016,6.21,2016-11-20
9,Karma,Pure,SUPPORT,,0,2,6,3,43,0,1,1.1,10420,257,15.2%,,53,12,14,,,1.31,0.35,0.3,,6198,638,4954,606,153,9.7%,0.15,66.7%,,0,0,0,0,-424,3,-491,0,,,,,,,,,,,,,,,,Longzhu Gaming,LOSS ,5275,IEM Oakland 2016,6.21,2016-11-20
0,Irelia,Expession,TOP,,2,5,3,1,254,8,0,8.3,10473,343,21.5%,,13,2,1,,,0.43,0.03,0.07,,11339,7074,1235,3030,372,25.7%,0.16,71.4%,,0,0,0,0,314,39,1083,1,,,,,,,,,,,,,,,,Longzhu Gaming,LOSS,5276,IEM Oakland 2016,6.21,2016-11-20
1,Nidalee,Crash,JUNGLE,,1,2,5,3,165,111,16,5.4,10586,347,21.7%,,25,21,5,,,0.82,0.16,0.69,,8414,625,7711,78,276,19.1%,0.2,85.7%,,0,0,0,0,-6,20,852,1,,,,,,,,,,,,,,,,Longzhu Gaming,LOSS,5276,IEM Oakland 2016,6.21,2016-11-20
2,Viktor,Frozen,MID,,2,5,3,1,255,8,0,8.4,10779,353,22.1%,,16,4,5,,,0.52,0.16,0.13,,10650,125,10525,0,349,24.1%,0.16,71.4%,,0,0,0,0,-1819,-9,-1442,-1,,,,,,,,,,,,,,,,Longzhu Gaming,LOSS,5276,IEM Oakland 2016,6.21,2016-11-20
3,Jhin,Fury,ADC,,2,4,4,1.5,209,2,0,6.8,9977,327,20.5%,,14,5,5,,,0.46,0.16,0.16,,11122,9252,1870,0,364,25.2%,0.2,85.7%,,0,0,0,0,-1666,-32,-1024,-1,,,,,,,,,,,,,,,,Longzhu Gaming,LOSS,5276,IEM Oakland 2016,6.21,2016-11-20
4,Braum,Pure,SUPPORT,,0,3,6,2,42,0,0,1.4,6869,225,14.1%,,36,7,8,,,1.18,0.26,0.23,,2618,232,2386,0,86,5.9%,0.2,85.7%,,0,0,0,0,-729,-4,-406,0,,,,,,,,,,,,,,,,Longzhu Gaming,LOSS,5276,IEM Oakland 2016,6.21,2016-11-20
