,hero,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,TEAM,WIN_LOSE,game_ID
8,Jhin,Sarkis,ADC,,7,2,5,6,425,4,0,7.5,21551,381,22.8%,,23,10,2,,,0.41,0.04,0.18,,32892,26197,6238,457,581,31.8%,0.21,80%,,0,0,0,0,192,4,180,0,,,,,,,,,,,,,,,,Remo Brave e-Sports,LOSS ,6217
9,Malzahar,Cabu,SUPPORT,,1,3,11,4,45,0,0,0.8,15351,271,16.3%,,90,24,23,,,1.59,0.41,0.42,,11110,1343,8952,815,196,10.7%,0.21,80%,,0,0,0,0,-464,-6,62,0,,,,,,,,,,,,,,,,Remo Brave e-Sports,LOSS ,6217
0,Nautilus,LEP,TOP,,2,2,8,5,417,19,16,8.9,17464,374,22.2%,,23,6,3,,,0.49,0.06,0.13,,18425,2312,15393,720,394,18.4%,0.21,83.3%,,0,0,0,0,164,15,795,1,,,,,,,,,,,,,,,,CNB e-Sports Club,WIN,6215
1,Kha,Yampi,JUNGLE,,4,1,5,9,183,94,43,3.9,15423,330,19.6%,,42,14,12,,,0.9,0.26,0.3,,13539,11584,1505,450,290,13.5%,0.19,75%,,1,0,0,0,-933,5,-841,-1,,,,,,,,,,,,,,,,CNB e-Sports Club,WIN,6215
2,Jayce,Tinowns,MID,,3,0,5,Perfect KDA,367,10,1,7.9,17420,373,22.2%,,22,19,8,,,0.47,0.17,0.41,,38425,35493,1717,1215,822,38.4%,0.17,66.7%,1,1,0,0,0,-419,-17,-116,0,,,,,,,,,,,,,,,,CNB e-Sports Club,WIN,6215
3,Jhin,pbO,ADC,,3,2,6,4.5,325,3,0,7,16133,345,20.5%,,24,3,9,,,0.51,0.19,0.06,,22619,16215,5744,660,484,22.6%,0.19,75%,,0,0,0,0,-377,2,-489,-1,,,,,,,,,,,,,,,,CNB e-Sports Club,WIN,6215
4,Lulu,Wos,SUPPORT,,0,0,9,Perfect KDA,61,1,0,1.3,12075,258,15.4%,,65,33,22,,,1.39,0.47,0.71,,7166,1308,4051,1807,153,7.2%,0.19,75%,,0,0,0,0,-279,8,242,0,,,,,,,,,,,,,,,,CNB e-Sports Club,WIN,6215
5,Gragas,Aoshi,TOP,,0,3,1,0.3,345,1,2,7.4,15756,337,21%,,23,17,3,,,0.49,0.06,0.36,,13100,1442,11658,0,280,20.4%,0.02,20%,,0,0,0,0,-164,-15,-795,-1,,,,,,,,,,,,,,,,Operation Kino,LOSS ,6215
6,Graves,Ranger,JUNGLE,,3,2,2,2.5,248,103,40,5.3,15600,334,20.8%,,35,25,7,,,0.75,0.15,0.53,,15318,12330,2868,120,328,23.9%,0.11,100%,1,0,0,0,0,933,-5,841,1,,,,,,,,,,,,,,,,Operation Kino,LOSS ,6215
7,Syndra,dyNquedo,MID,,1,3,2,1,347,6,1,7.4,15805,338,21.1%,,18,6,4,,,0.39,0.09,0.13,,15450,211,14631,608,330,24.1%,0.06,60%,,0,0,0,0,419,17,116,0,,,,,,,,,,,,,,,,Operation Kino,LOSS ,6215
8,Ashe,LUSKKA,ADC,,1,2,1,1,342,15,8,7.3,16124,345,21.5%,,21,11,4,,,0.45,0.09,0.24,,11243,9435,1576,232,240,17.5%,0.04,40%,,0,0,0,0,377,-2,489,1,,,,,,,,,,,,,,,,Operation Kino,LOSS ,6215
9,Zyra,BocaJR,SUPPORT,,0,2,4,2,36,0,0,0.8,11729,251,15.6%,,66,27,19,,,1.41,0.41,0.58,,9098,596,8502,0,195,14.2%,0.09,80%,,0,0,0,0,279,-8,-242,0,,,,,,,,,,,,,,,,Operation Kino,LOSS ,6215
0,Fiora,Zantins,TOP,,1,2,1,1,226,2,8,9.8,8563,373,24%,,9,0,3,,,0.39,0.13,0,,5557,3775,266,1516,242,15.1%,0.09,33.3%,,0,0,0,0,-560,1,-368,-1,,,,,,,,,,,,,,,,KaBuM! e-Sports,LOSS,6213
1,Graves,Danagorn,JUNGLE,,0,3,1,0.3,93,46,22,4,6609,288,18.6%,,12,3,4,,,0.52,0.17,0.13,,5841,4787,1014,40,254,15.8%,0.04,16.7%,,0,0,0,0,-770,4,-1176,-1,,,,,,,,,,,,,,,,KaBuM! e-Sports,LOSS,6213
2,Ahri,Titan,MID,,3,4,0,0.8,168,3,0,7.3,7907,344,22.2%,,11,2,3,,,0.48,0.13,0.09,,13572,1486,8198,3888,591,36.8%,0.13,50%,,1,0,0,0,-2580,-27,-2160,-2,,,,,,,,,,,,,,,,KaBuM! e-Sports,LOSS,6213
3,Jhin,TheFoxz,ADC,,1,4,1,0.5,136,0,0,5.9,6628,288,18.6%,,11,3,3,,,0.48,0.13,0.13,,6780,5792,988,0,295,18.4%,0.09,33.3%,,0,0,0,0,-1856,-28,-1422,-1,,,,,,,,,,,,,,,,KaBuM! e-Sports,LOSS,6213
4,Karma,Riyev,SUPPORT,,1,3,4,1.7,12,0,0,0.5,5910,257,16.6%,,25,8,4,,,1.09,0.17,0.35,,5135,965,4170,0,223,13.9%,0.22,83.3%,,0,0,0,0,-163,-1,-1355,-1,,,,,,,,,,,,,,,,KaBuM! e-Sports,LOSS,6213
5,Nautilus,ayel,TOP,,1,1,6,7,180,6,1,7.8,9089,395,18.7%,,11,4,2,,,0.48,0.09,0.17,,10077,2585,7492,0,438,21.6%,0.3,43.8%,,0,0,0,0,560,-1,368,1,,,,,,,,,,,,,,,,INTZ eSports,WIN ,6213
6,Kha,Turtle,JUNGLE,,2,0,6,Perfect KDA,100,48,31,4.4,8891,387,18.3%,,20,7,5,,,0.87,0.22,0.3,,7977,6174,1763,40,347,17.1%,0.35,50%,,0,0,0,0,770,-4,1176,1,,,,,,,,,,,,,,,,INTZ eSports,WIN ,6213
7,Jayce,Envy,MID,,6,1,2,8,192,3,0,8.4,11552,503,23.8%,,8,2,3,,,0.35,0.13,0.09,,13135,12468,667,0,572,28.2%,0.35,50%,2,0,0,0,0,2580,27,2160,2,,,,,,,,,,,,,,,,INTZ eSports,WIN ,6213
8,Ashe,micaO,ADC,,7,2,4,5.5,215,2,4,9.4,12036,524,24.8%,,6,4,0,,,0.26,0,0.17,,9746,8015,1703,28,424,20.9%,0.48,68.8%,1,1,0,0,0,1856,28,1422,1,,,,,,,,,,,,,,,,INTZ eSports,WIN ,6213
9,Lulu,Jockster,SUPPORT,,0,2,9,4.5,13,0,0,0.6,6992,304,14.4%,,24,9,7,,,1.04,0.3,0.39,,5641,2217,3424,0,245,12.1%,0.39,56.3%,,0,0,0,0,163,1,1355,1,,,,,,,,,,,,,,,,INTZ eSports,WIN ,6213
0,Rumble,LEP,TOP,,1,3,0,0.3,423,9,0,9.2,16609,360,22.3%,,24,6,5,,,0.52,0.11,0.13,,23047,390,22657,0,500,26.1%,0.02,25%,,0,0,0,0,-786,-19,-657,0,,,,,,,,,,,,,,,,CNB e-Sports Club,LOSS,6042
1,Rek,Minerva,JUNGLE,,1,1,3,4,180,90,17,3.9,13534,294,18.2%,,51,41,24,,,1.11,0.52,0.89,,7631,2804,4827,0,166,8.6%,0.09,100%,,0,0,0,0,-706,-21,-466,0,,,,,,,,,,,,,,,,CNB e-Sports Club,LOSS,6042
2,Taliyah,Tinowns,MID,,0,3,3,1,441,21,5,9.6,16537,359,22.2%,,21,5,4,,,0.46,0.09,0.11,,24366,309,24057,0,529,27.6%,0.07,75%,,0,0,0,0,-636,-26,-350,0,,,,,,,,,,,,,,,,CNB e-Sports Club,LOSS,6042
3,Jhin,pbO,ADC,,1,1,1,2,425,1,1,9.2,16695,362,22.4%,,17,8,6,,,0.37,0.13,0.17,,17935,14815,3120,0,389,20.3%,0.04,50%,,0,0,0,0,-391,-7,-284,-1,,,,,,,,,,,,,,,,CNB e-Sports Club,LOSS,6042
4,Zyra,Wos,SUPPORT,,1,2,2,1.5,40,1,0,0.9,11132,242,14.9%,,55,19,17,,,1.19,0.37,0.41,,15287,1058,14154,75,332,17.3%,0.07,75%,,0,0,0,0,-301,-23,-62,0,,,,,,,,,,,,,,,,CNB e-Sports Club,LOSS,6042
5,Renekton,yang,TOP,,4,0,1,Perfect KDA,471,6,21,10.2,20389,442,22.2%,,33,16,9,,,0.72,0.2,0.35,,9923,7740,1733,450,215,15.8%,0.11,50%,,0,0,0,0,786,19,657,0,,,,,,,,,,,,,,,,Keyd Stars,WIN ,6042
6,Kha,Revolta,JUNGLE,,2,2,5,3.5,238,117,80,5.2,16680,362,18.2%,,40,22,20,,,0.87,0.43,0.48,,15521,12986,1863,672,337,24.7%,0.15,70%,,0,0,0,0,706,21,466,0,,,,,,,,,,,,,,,,Keyd Stars,WIN ,6042
7,Ekko,takeshi,MID,,3,1,4,7,523,4,1,11.3,21752,472,23.7%,,26,11,2,,,0.56,0.04,0.24,,16496,1823,14208,465,358,26.3%,0.15,70%,1,0,0,0,0,636,26,350,0,,,,,,,,,,,,,,,,Keyd Stars,WIN ,6042
8,Sivir,esA,ADC,,0,0,6,Perfect KDA,524,6,4,11.4,20955,455,22.8%,,19,23,5,,,0.41,0.11,0.5,,18901,16265,2298,338,410,30.1%,0.13,60%,,0,0,0,0,391,7,284,1,,,,,,,,,,,,,,,,Keyd Stars,WIN ,6042
9,Tahm Kench,Zirigui,SUPPORT,,1,1,3,4,44,0,0,1,11977,260,13.1%,,67,10,26,,,1.45,0.56,0.22,,1947,98,1849,0,42,3.1%,0.09,40%,,0,0,0,0,301,23,62,0,,,,,,,,,,,,,,,,Keyd Stars,WIN ,6042
0,Fiora,Zantins,TOP,,3,4,1,1,355,3,18,9.8,14811,409,24.9%,,13,6,3,,,0.36,0.08,0.17,,15727,10037,622,5068,435,28.1%,0.11,66.7%,,1,0,0,0,-604,-2,-7,0,,,,,,,,,,,,,,,,KaBuM! e-Sports,LOSS,6040
1,Elise,Danagorn,JUNGLE,,0,4,4,1,138,61,46,3.8,10455,289,17.6%,,26,5,5,,,0.72,0.14,0.14,,10152,96,10032,24,281,18.1%,0.11,66.7%,,0,0,0,0,-917,-4,-176,0,,,,,,,,,,,,,,,,KaBuM! e-Sports,LOSS,6040
2,Cassiopeia,Titan,MID,,1,7,1,0.3,315,19,1,8.7,13181,364,22.2%,,17,8,4,,,0.47,0.11,0.22,,15105,454,14651,0,417,27%,0.06,33.3%,,0,0,0,0,-552,16,-737,0,,,,,,,,,,,,,,,,KaBuM! e-Sports,LOSS,6040
3,Ashe,TheFoxz,ADC,,1,5,2,0.6,247,4,8,6.8,11495,318,19.3%,,12,8,3,,,0.33,0.08,0.22,,10527,8657,1844,26,291,18.8%,0.08,50%,,0,0,0,0,-1243,-10,-1084,-1,,,,,,,,,,,,,,,,KaBuM! e-Sports,LOSS,6040
4,Karma,Riyev,SUPPORT,,1,1,5,6,35,0,0,1,9521,263,16%,,44,14,12,,,1.22,0.33,0.39,,4525,446,4079,0,125,8.1%,0.17,100%,,0,0,0,0,-826,-13,-576,-1,,,,,,,,,,,,,,,,KaBuM! e-Sports,LOSS,6040
5,Renekton,Thulz,TOP,,2,1,8,10,282,6,10,7.8,13835,382,19.8%,,15,2,1,,,0.41,0.03,0.06,,10712,9381,1331,0,296,16%,0.28,50%,,0,0,0,0,604,2,7,0,,,,,,,,,,,,,,,,Remo Brave e-Sports,WIN ,6040
6,Graves,4LaN,JUNGLE,,4,3,9,4.3,192,81,44,5.3,14378,397,20.6%,,21,18,6,,,0.58,0.17,0.5,,12416,10702,1368,346,343,18.5%,0.36,65%,,0,0,0,0,917,4,176,0,,,,,,,,,,,,,,,,Remo Brave e-Sports,WIN ,6040
7,Syndra,evr0t,MID,,7,0,8,Perfect KDA,336,9,11,9.3,16504,456,23.6%,,17,4,5,,,0.47,0.14,0.11,,21178,339,19856,983,585,31.6%,0.41,75%,,0,0,0,0,552,-16,737,0,,,,,,,,,,,,,,,,Remo Brave e-Sports,WIN ,6040
8,Jhin,Sarkis,ADC,,6,1,8,14,232,0,3,6.4,14110,390,20.2%,,21,7,8,,,0.58,0.22,0.19,,18424,15923,2501,0,509,27.5%,0.39,70%,,1,0,0,0,1243,10,1084,1,,,,,,,,,,,,,,,,Remo Brave e-Sports,WIN ,6040
9,Nautilus,Cabu,SUPPORT,,1,1,13,14,60,1,0,1.7,11117,307,15.9%,,49,13,11,,,1.35,0.3,0.36,,4252,1121,3053,78,118,6.3%,0.39,70%,,0,0,0,0,826,13,576,1,,,,,,,,,,,,,,,,Remo Brave e-Sports,WIN ,6040
0,Nautilus,ayel,TOP,,0,2,13,6.5,256,2,20,7.8,12104,367,19.3%,,17,6,3,,,0.51,0.09,0.18,,17481,4297,13184,0,529,23.4%,0.39,81.3%,,0,0,0,0,140,7,-105,0,,,,,,,,,,,,,,,,INTZ eSports,WIN,6038
1,Elise,Turtle,JUNGLE,,2,0,11,Perfect KDA,120,66,21,3.6,11700,354,18.6%,,22,18,5,,,0.67,0.15,0.55,,11702,903,10781,18,354,15.6%,0.39,81.3%,,0,0,0,0,-379,-29,-719,-1,,,,,,,,,,,,,,,,INTZ eSports,WIN,6038
2,Ahri,Envy,MID,,4,0,5,Perfect KDA,298,2,3,9,13716,415,21.8%,,14,8,3,,,0.42,0.09,0.24,,12113,1242,7364,3507,367,16.2%,0.27,56.3%,,1,0,0,0,820,11,884,1,,,,,,,,,,,,,,,,INTZ eSports,WIN,6038
3,Varus,micaO,ADC,,9,3,4,4.3,313,8,4,9.5,15957,483,25.4%,,11,1,1,,,0.33,0.03,0.03,,28654,25647,2579,428,868,38.3%,0.39,81.3%,,2,0,0,0,596,27,-94,0,,,,,,,,,,,,,,,,INTZ eSports,WIN,6038
4,Thresh,Jockster,SUPPORT,,1,1,13,14,37,0,0,1.1,9317,282,14.8%,,41,5,14,,,1.24,0.42,0.15,,4869,803,4066,0,147,6.5%,0.42,87.5%,,0,0,0,0,313,7,-79,0,,,,,,,,,,,,,,,,INTZ eSports,WIN,6038
5,Poppy,Aoshi,TOP,,2,3,1,1,222,3,0,6.7,9817,297,20.3%,,16,3,2,,,0.48,0.06,0.09,,13259,9689,3570,0,402,25.1%,0.09,50%,,1,0,0,0,-140,-7,105,0,,,,,,,,,,,,,,,,Operation Kino,LOSS ,6038
6,Kha,Ranger,JUNGLE,,0,4,4,1,156,64,52,4.7,9383,284,19.4%,,34,6,12,,,1.03,0.36,0.18,,5974,4783,1027,164,181,11.3%,0.12,66.7%,,0,0,0,0,379,29,719,1,,,,,,,,,,,,,,,,Operation Kino,LOSS ,6038
7,Syndra,dyNquedo,MID,,1,4,3,1,264,5,0,8,10624,322,22%,,13,8,4,,,0.39,0.12,0.24,,14460,586,12990,884,438,27.3%,0.12,66.7%,,0,0,0,0,-820,-11,-884,-1,,,,,,,,,,,,,,,,Operation Kino,LOSS ,6038
8,Sivir,LUSKKA,ADC,,3,2,2,2.5,273,2,0,8.3,11269,341,23.3%,,12,8,2,,,0.36,0.06,0.24,,10381,10231,0,150,314,19.6%,0.15,83.3%,,0,0,0,0,-596,-27,94,0,,,,,,,,,,,,,,,,Operation Kino,LOSS ,6038
9,Karma,BocaJR,SUPPORT,,0,3,5,1.7,28,0,0,0.8,7245,219,15%,,33,18,10,,,1,0.3,0.55,,8803,1254,7326,223,267,16.6%,0.15,83.3%,,0,0,0,0,-313,-7,79,0,,,,,,,,,,,,,,,,Operation Kino,LOSS ,6038
0,Rumble,Mylon,TOP,,3,1,3,6,346,0,3,9.9,14880,424,22.1%,,17,3,4,,,0.48,0.11,0.09,,21008,673,20210,125,599,29.1%,0.17,50%,1,0,0,0,0,194,7,727,1,,,,,,,,,,,,,,,,Pain Gaming,WIN,6036
1,Rengar,SirThulio,JUNGLE,,0,0,6,Perfect KDA,193,100,68,5.5,12242,349,18.2%,,40,14,10,,,1.14,0.28,0.4,,6230,4408,1822,0,177,8.6%,0.17,50%,,0,0,0,0,52,32,536,0,,,,,,,,,,,,,,,,Pain Gaming,WIN,6036
2,Aurelion Sol,Kami,MID,,6,0,5,Perfect KDA,357,4,15,10.2,16501,470,24.5%,,19,1,4,,,0.54,0.11,0.03,,18480,1453,16877,150,526,25.6%,0.31,91.7%,1,0,0,0,0,594,9,475,0,,,,,,,,,,,,,,,,Pain Gaming,WIN,6036
3,Varus,Matsukaze,ADC,,3,0,2,Perfect KDA,308,2,1,8.8,14096,402,21%,,13,6,3,,,0.37,0.09,0.17,,22722,21223,1403,96,647,31.5%,0.14,41.7%,,0,0,0,0,-95,-6,-49,0,,,,,,,,,,,,,,,,Pain Gaming,WIN,6036
4,Thresh,Loop,SUPPORT,,0,0,8,Perfect KDA,48,0,0,1.4,9555,272,14.2%,,60,18,22,,,1.71,0.63,0.51,,3717,402,2878,437,106,5.2%,0.23,66.7%,,0,0,0,0,213,19,-71,0,,,,,,,,,,,,,,,,Pain Gaming,WIN,6036
5,Renekton,Robo,TOP,,0,2,1,0.5,344,7,10,9.8,12436,354,22.2%,,17,3,1,,,0.48,0.03,0.09,,6955,6358,597,0,198,12.7%,0.03,100%,,0,0,0,0,-194,-7,-727,-1,,,,,,,,,,,,,,,,Red Canids,LOSS ,6036
6,Graves,Nappon,JUNGLE,,0,4,0,0,157,91,31,4.5,10352,295,18.5%,,25,17,7,,,0.71,0.2,0.48,,8906,7687,1219,0,254,16.3%,0,0%,,0,0,0,0,-52,-32,-536,0,,,,,,,,,,,,,,,,Red Canids,LOSS ,6036
7,Corki,Tockers,MID,,1,2,0,0.5,332,5,4,9.5,12960,369,23.2%,,21,7,4,,,0.6,0.11,0.2,,20090,2495,17595,0,572,36.7%,0.03,100%,,0,0,0,0,-594,-9,-475,0,,,,,,,,,,,,,,,,Red Canids,LOSS ,6036
8,Sivir,brTT,ADC,,0,3,0,0,360,4,8,10.3,12859,366,23%,,12,3,1,,,0.34,0.03,0.09,,13480,12241,1209,30,384,24.6%,0,0%,,0,0,0,0,95,6,49,0,,,,,,,,,,,,,,,,Red Canids,LOSS ,6036
9,Karma,Dioud,SUPPORT,,0,1,1,1,14,0,0,0.4,7371,210,13.2%,,54,13,16,,,1.54,0.46,0.37,,5339,428,4911,0,152,9.7%,0.03,100%,,0,0,0,0,-213,-19,71,0,,,,,,,,,,,,,,,,Red Canids,LOSS ,6036
0,Rumble,Mylon,TOP,,6,2,12,9,423,3,12,9.1,19437,420,23.4%,,25,3,3,,,0.54,0.06,0.06,,36593,509,35689,395,790,37.7%,0.39,85.7%,,1,0,0,0,581,36,647,0,,,,,,,,,,,,,,,,Pain Gaming,WIN,5818
1,Rek,SirThulio,JUNGLE,,0,3,15,5,239,117,70,5.2,15544,336,18.7%,,48,16,11,,,1.04,0.24,0.35,,11521,5557,5765,199,249,11.9%,0.32,71.4%,,0,0,0,0,215,29,838,1,,,,,,,,,,,,,,,,Pain Gaming,WIN,5818
2,Camille,Kami,MID,,7,6,6,2.2,283,8,16,6.1,16441,355,19.8%,,20,4,3,,,0.43,0.06,0.09,,13652,8518,1737,3397,295,14.1%,0.28,61.9%,,1,0,0,0,-545,-19,-372,-1,,,,,,,,,,,,,,,,Pain Gaming,WIN,5818
3,Jhin,Matsukaze,ADC,,7,0,9,Perfect KDA,403,4,3,8.7,19104,412,23%,,18,8,5,,,0.39,0.11,0.17,,29155,24029,4674,452,629,30.1%,0.35,76.2%,,1,0,0,0,-256,10,115,0,,,,,,,,,,,,,,,,Pain Gaming,WIN,5818
4,Karma,Loop,SUPPORT,,1,1,15,16,32,2,1,0.7,12446,269,15%,,72,13,16,,,1.55,0.35,0.28,,6059,826,3679,1554,131,6.2%,0.35,76.2%,,0,0,0,0,-545,-1,-810,-1,,,,,,,,,,,,,,,,Pain Gaming,WIN,5818
5,Nautilus,Zantins,TOP,,1,5,5,1.2,355,3,2,7.7,16567,358,20.6%,,25,6,3,,,0.54,0.06,0.13,,13724,2601,11123,0,296,12.7%,0.13,50%,,0,0,0,0,-581,-36,-647,0,,,,,,,,,,,,,,,,KaBuM! e-Sports,LOSS ,5818
6,Graves,Danagorn,JUNGLE,,6,3,5,3.7,234,88,55,5.1,16624,359,20.7%,,14,17,8,,,0.3,0.17,0.37,,21840,18874,1819,1147,472,20.2%,0.24,91.7%,,1,0,0,0,-215,-29,-838,-1,,,,,,,,,,,,,,,,KaBuM! e-Sports,LOSS ,5818
7,Corki,Vash,MID,,2,6,7,1.5,392,27,22,8.5,17905,387,22.3%,,21,13,7,,,0.45,0.15,0.28,,30465,5458,24650,357,658,28.1%,0.19,75%,,0,0,0,0,545,19,372,1,,,,,,,,,,,,,,,,KaBuM! e-Sports,LOSS ,5818
8,Varus,TheFoxz,ADC,,2,4,9,2.8,336,9,1,7.3,16556,357,20.6%,,14,11,3,,,0.3,0.06,0.24,,20530,18914,1441,175,443,18.9%,0.24,91.7%,,0,0,0,0,256,-10,-115,0,,,,,,,,,,,,,,,,KaBuM! e-Sports,LOSS ,5818
9,Zyra,Riyev,SUPPORT,,1,3,9,3.3,45,0,0,1,12804,276,15.9%,,67,21,18,,,1.45,0.39,0.45,,21821,943,20728,150,471,20.1%,0.22,83.3%,,0,0,0,0,545,1,810,1,,,,,,,,,,,,,,,,KaBuM! e-Sports,LOSS ,5818
0,Swain,Aoshi,TOP,,2,4,0,0.5,212,1,3,7.1,9232,307,20.8%,,11,4,1,,,0.37,0.03,0.13,,10596,1611,8985,0,352,28%,0.07,100%,,0,0,0,0,195,-6,-1,0,,,,,,,,,,,,,,,,Operation Kino,LOSS,5816
1,Graves,Ranger,JUNGLE,,0,3,2,0.7,129,72,27,4.3,8469,282,19.1%,,11,4,4,,,0.37,0.13,0.13,,6087,4752,745,590,202,16.1%,0.07,100%,,0,0,0,0,-180,-6,-391,0,,,,,,,,,,,,,,,,Operation Kino,LOSS,5816
2,Cassiopeia,dyNquedo,MID,,0,2,0,0,287,5,7,9.5,10443,347,23.5%,,10,6,3,,,0.33,0.1,0.2,,6415,47,6368,0,213,17%,0,0%,,0,0,0,0,-469,-10,-242,0,,,,,,,,,,,,,,,,Operation Kino,LOSS,5816
3,Ezreal,LUSKKA,ADC,,0,1,1,1,264,3,0,8.8,10218,340,23%,,13,3,3,,,0.43,0.1,0.1,,10083,6622,3461,0,335,26.7%,0.03,50%,,0,0,0,0,-234,-7,192,1,,,,,,,,,,,,,,,,Operation Kino,LOSS,5816
4,Malzahar,BocaJR,SUPPORT,,0,5,0,0,15,0,0,0.5,6079,202,13.7%,,41,10,14,,,1.36,0.47,0.33,,4618,998,3620,0,154,12.2%,0,0%,,0,0,0,0,-700,-1,-586,-1,,,,,,,,,,,,,,,,Operation Kino,LOSS,5816
5,Shen,Robo,TOP,,2,2,8,5,214,3,9,7.1,11366,378,18.6%,,13,5,1,,,0.43,0.03,0.17,,5056,2829,2227,0,168,10.8%,0.33,66.7%,,0,0,0,0,-195,6,1,0,,,,,,,,,,,,,,,,Red Canids,WIN ,5816
6,Rengar,Nappon,JUNGLE,,2,0,6,Perfect KDA,140,61,43,4.7,11349,377,18.6%,,16,9,3,,,0.53,0.1,0.3,,6962,5812,1084,66,232,14.9%,0.27,53.3%,,0,0,0,0,180,6,391,0,,,,,,,,,,,,,,,,Red Canids,WIN ,5816
7,Syndra,Tockers,MID,,11,0,1,Perfect KDA,314,3,8,10.4,15746,524,25.7%,,17,4,4,,,0.57,0.13,0.13,,20893,469,19876,548,695,44.7%,0.4,80%,1,1,2,0,0,469,10,242,0,,,,,,,,,,,,,,,,Red Canids,WIN ,5816
8,Ashe,brTT,ADC,,0,0,8,Perfect KDA,295,7,2,9.8,13527,450,22.1%,,11,3,2,,,0.37,0.07,0.1,,5600,4172,1396,32,186,12%,0.27,53.3%,,0,0,0,0,234,7,-192,-1,,,,,,,,,,,,,,,,Red Canids,WIN ,5816
9,Miss Fortune,Dioud,SUPPORT,,0,0,8,Perfect KDA,26,0,0,0.9,9174,305,15%,,45,16,10,,,1.5,0.33,0.53,,8198,2005,6193,0,273,17.6%,0.27,53.3%,,0,0,0,0,700,1,586,1,,,,,,,,,,,,,,,,Red Canids,WIN ,5816
0,Maokai,LEP,TOP,,1,2,5,3,436,4,13,8.4,18938,363,19.9%,,21,3,1,,,0.4,0.02,0.06,,20984,3508,16516,960,402,17.5%,0.12,60%,,0,0,0,0,-332,-9,-1086,-1,,,,,,,,,,,,,,,,CNB e-Sports Club,WIN,5814
1,Graves,Minerva,JUNGLE,,2,2,7,4.5,318,118,64,6.1,19356,371,20.3%,,15,36,9,,,0.29,0.17,0.69,,16657,12461,1711,2485,319,13.9%,0.17,90%,,0,0,0,0,-523,5,-386,0,,,,,,,,,,,,,,,,CNB e-Sports Club,WIN,5814
2,Jayce,Tinowns,MID,,5,1,4,9,458,9,6,8.8,21981,421,23.1%,,25,21,4,,,0.48,0.08,0.4,,41760,37822,1958,1980,801,34.9%,0.17,90%,,1,0,0,0,-1035,-34,-954,0,,,,,,,,,,,,,,,,CNB e-Sports Club,WIN,5814
3,Ezreal,pbO,ADC,,2,1,6,8,429,19,4,8.2,20738,398,21.8%,,16,7,4,,,0.31,0.08,0.13,,30404,19363,8007,3034,583,25.4%,0.15,80%,,0,0,0,0,-356,-25,-255,-1,,,,,,,,,,,,,,,,CNB e-Sports Club,WIN,5814
4,Karma,Wos,SUPPORT,,0,1,8,8,49,0,0,0.9,14214,273,14.9%,,78,25,25,,,1.5,0.48,0.48,,9998,622,7294,2082,192,8.3%,0.15,80%,,0,0,0,0,-45,-6,-525,-1,,,,,,,,,,,,,,,,CNB e-Sports Club,WIN,5814
5,Nautilus,Thulz,TOP,,0,1,5,5,438,8,0,8.4,17618,338,20%,,22,4,1,,,0.42,0.02,0.08,,19376,5056,14188,132,372,25.5%,0.1,71.4%,,0,0,0,0,332,9,1086,1,,,,,,,,,,,,,,,,Remo Brave e-Sports,LOSS ,5814
6,Rek,4LaN,JUNGLE,,0,3,5,1.7,357,152,117,6.8,17767,341,20.2%,,42,34,7,,,0.81,0.13,0.65,,8289,5043,2925,321,159,10.9%,0.1,71.4%,,0,0,0,0,523,-5,386,0,,,,,,,,,,,,,,,,Remo Brave e-Sports,LOSS ,5814
7,Syndra,evr0t,MID,,5,2,2,3.5,558,20,6,10.7,21890,420,24.9%,,24,10,6,,,0.46,0.12,0.19,,22165,350,19994,1821,425,29.1%,0.13,100%,,1,0,0,0,1035,34,954,0,,,,,,,,,,,,,,,,Remo Brave e-Sports,LOSS ,5814
8,Jhin,Sarkis,ADC,,2,1,3,5,436,2,1,8.4,18840,361,21.4%,,26,10,5,,,0.5,0.1,0.19,,24232,19326,4478,428,465,31.8%,0.1,71.4%,,1,0,0,0,356,25,255,1,,,,,,,,,,,,,,,,Remo Brave e-Sports,LOSS ,5814
9,Thresh,Cabu,SUPPORT,,0,3,5,1.7,65,0,0,1.2,11836,227,13.5%,,74,23,15,,,1.42,0.29,0.44,,2053,181,1521,351,39,2.7%,0.1,71.4%,,0,0,0,0,45,6,525,1,,,,,,,,,,,,,,,,Remo Brave e-Sports,LOSS ,5814
