,hero,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,TEAM,WIN_LOSE,game_ID
5,Maokai,Mouse,TOP,,0,2,3,1.5,263,0,0,6.9,12708,332,19.1%,,22,6,4,,,0.57,0.1,0.16,,10710,1763,8947,0,279,19.1%,0.08,50%,,0,0,0,0,-226,-29,80,0,,,,,,,,,,,,,,,,Edward Gaming,LOSS ,9042
6,Gragas,ClearLove,JUNGLE,,2,2,2,2,121,75,4,3.2,11908,311,17.9%,,43,13,22,,,1.12,0.57,0.34,,5259,463,4768,28,137,9.4%,0.1,66.7%,,0,0,0,0,829,11,166,1,,,,,,,,,,,,,,,,Edward Gaming,LOSS ,9042
7,LeBlanc,Scout,MID,,3,2,2,2.5,313,4,6,8.2,14751,385,22.1%,,7,12,6,,,0.18,0.16,0.31,,15750,1992,13708,50,411,28.1%,0.13,83.3%,,0,0,0,0,513,-24,-420,0,,,,,,,,,,,,,,,,Edward Gaming,LOSS ,9042
8,Tristana,iBOY,ADC,,1,3,1,0.7,429,21,17,11.2,17156,448,25.7%,,17,8,8,,,0.44,0.21,0.21,,21440,13274,7410,756,559,38.3%,0.05,33.3%,,0,0,0,0,1975,45,189,0,,,,,,,,,,,,,,,,Edward Gaming,LOSS ,9042
9,Lulu,meiko,SUPPORT,,0,1,2,2,8,0,0,0.2,10121,264,15.2%,,44,4,19,,,1.15,0.5,0.1,,2840,528,2312,0,74,5.1%,0.05,33.3%,,0,0,0,0,280,-2,224,0,,,,,,,,,,,,,,,,Edward Gaming,LOSS ,9042
0,Gnar,Impact,TOP,,0,1,4,4,221,0,0,9.2,9336,387,19.6%,,13,2,4,,,0.54,0.17,0.08,,14330,10793,3537,0,593,27.7%,0.17,50%,,0,0,0,0,518,30,96,0,,,,,,,,,,,,,,,,Cloud 9,WIN,9041
1,Gragas,Contractz,JUNGLE,,0,0,7,Perfect KDA,129,55,20,5.3,8752,362,18.3%,,18,7,5,,,0.75,0.21,0.29,,8139,1476,6507,156,337,15.8%,0.29,87.5%,,0,0,0,0,696,7,153,0,,,,,,,,,,,,,,,,Cloud 9,WIN,9041
2,LeBlanc,Jensen,MID,,5,0,3,Perfect KDA,200,2,0,8.3,10525,436,22.1%,,10,4,4,,,0.41,0.17,0.17,,12872,1862,11010,0,533,24.9%,0.33,100%,,1,0,0,0,1478,37,618,1,,,,,,,,,,,,,,,,Cloud 9,WIN,9041
3,Caitlyn,Sneaky,ADC,,3,0,4,Perfect KDA,218,7,0,9,10814,448,22.7%,,11,5,2,,,0.46,0.08,0.21,,14929,13403,1272,254,618,28.9%,0.29,87.5%,,0,0,0,0,1528,15,325,0,,,,,,,,,,,,,,,,Cloud 9,WIN,9041
4,Janna,Smoothie,SUPPORT,,0,0,7,Perfect KDA,8,0,0,0.3,8294,343,17.4%,,25,6,8,,,1.04,0.33,0.25,,1383,424,959,0,57,2.7%,0.29,87.5%,,0,0,0,0,777,0,-58,0,,,,,,,,,,,,,,,,Cloud 9,WIN,9041
